GlAccount,LongDescription,ShortDescription
15100562,CommReco WH-GasTanks,CommReco WH-GasTanks
15200829,Cust Rltp IntGen RHVAC,Cust Rl IntGen RHVAC
15200829,Cust Rltp IntGen RHVAC,Cust Rl IntGen RHVAC
15200829,Cust Rltp IntGen RHVAC,Cust Rl IntGen RHVAC
15200829,Cust Rltp IntGen RHVAC,Cust Rl IntGen RHVAC
15200836,Prop Mgmt Retention Allowan,Prop Mgmt Ret Allown
16200829,AD:Cus Rltp IntGen RHVAC,AD:Cus Rlt IntGen RH
16200829,AD:Cus Rltp IntGen RHVAC,AD:Cus Rlt IntGen RH
16200829,AD:Cus Rltp IntGen RHVAC,AD:Cus Rlt IntGen RH
16200829,AD:Cus Rltp IntGen RHVAC,AD:Cus Rlt IntGen RH
16200836,AD:Prop Mgmt Retention Allowan,AD:Prop Mgmt Ret All
74100562,DEP:CommReco WH-GasTanks,DEP:CommReco WH-GasT
74100502,DEP:Res RWH-Gas PV,DEP:Res RWH-Gas PV
74200829,DEP:HVAC Cust Rltp Int Gen,DEP:HVAC Cust Rlp IG
74200829,DEP:HVAC Cust Rltp Int Gen,DEP:HVAC Cust Rlp IG
74200829,DEP:HVAC Cust Rltp Int Gen,DEP:HVAC Cust Rlp IG
74200829,DEP:HVAC Cust Rltp Int Gen,DEP:HVAC Cust Rlp IG
74200836,DEP:Prop Mgmt Retention Allowa,DEP:Prop Mgmt tn All
16100562,AD:CommReco WH-GasTanks,AD:CommReco WH-GasT
74000020,DEP:Tools,DEP:Tools
40000400,REV: Gross Recurring Revenue,Gross Recurring Rev
40000411,REV: Recurring Credit Adjustments,REV: Rec Credit Adj
40000400,REV: Gross Recurring Revenue,Gross Recurring Rev
40000400,REV: Gross Recurring Revenue,Gross Recurring Rev
40010100,REV: Gross OneTime Revenue,REV: Grs OneTime Rev
40010260,REV: General Charges,REV: General Charges
40010260,REV: General Charges,REV: General Charges
40010200,REV: Administration Fees,REV: Admin Fees
40010240,REV: Late Payment Charges,REV: General Charges
40010260,REV: General Charges,REV: General Charges
27000003,IC Interest Payable to US Holdings I,IC Int Pay to USH I
12000200,AR:Sundry,AR:Sundry
40020281,REV:Carbon Offset Revenue,REV:Carb Ofst Reven
25000005,UER: Unearn Revenue-Acquireds,UER: Unearn Rev-Acq
74000130,DEP:Fixed Assets,DEP:CustRltp IntGn C
74200833,DEP:CustRltp IntGen Comm,DEP:CustRltp IntGn C
